deviceId,data,time,locationStatus,latitude,longitude,mobileStatus,netType,RSRP,RSRQ,SNR,RSSI,downlink,uplink,roaming,downstreamBandwidth,upstreamBandwidth,earfcn,band,frequency,ci,pci,tag,networkOperator,chipOperator,mcc,mnc,bluetoothStatus
3d4c6129617d84c4,11/03/2023,16.57.34,1,-3.127.097,-58.431.706,1,4G,-94,-17,3.0,-65,3,20,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,16.57.36,1,-3.127.097,-58.431.706,1,4G,-104,-15,3.0,-69,585,16,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,16.58.02,1,-3.127.097,-58.431.706,1,4G,-105,-17,-8.0,-67,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,16.58.11,1,-3.127.097,-58.431.706,1,4G,-103,-14,1.0,-69,13,15,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.02.34,1,-3.127.097,-58.431.706,1,4G,-118,-17,0.0,-77,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.02.44,1,-3.127.097,-58.431.706,1,4G,-91,-15,0.0,-57,0,0,-1,30000,15000,9510,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.07.46,1,-3.127.097,-58.431.706,1,4G,-89,-12,4.0,-59,0,0,-1,30000,15000,9510,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.12.48,1,-3.127.097,-58.431.706,1,4G,-89,-14,3.0,-55,15,5,-1,30000,15000,9510,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.13.22,1,-3.127.097,-58.431.706,1,4G,-87,-15,-2.0,-61,17,2,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.15.04,1,-3.127.097,-58.431.706,1,4G,-109,-15,-3.0,-73,74,210,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.15.08,1,-3.127.097,-58.431.706,1,4G,-103,-15,0.0,-67,14,1,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.15.26,1,-3.127.097,-58.431.706,1,4G,-100,-12,2.0,-65,55,106,-1,30000,15000,9510,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.18.23,1,-3.127.097,-58.431.706,1,4G,-74,-9,10.0,-51,0,4,-1,30000,15000,9510,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.20.01,1,-3.127.097,-58.431.706,1,4G,-81,-9,15.0,-55,9151,58,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.25.01,1,-3.127.097,-58.431.706,1,4G,-87,-14,10.0,-55,0,0,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.28.28,1,-3.126.921,-58.431.587,1,4G,-75,-13,14.0,-51,0,0,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.28.31,1,-3.126.837,-58.431.639,1,4G,-74,-11,11.0,-51,1,1,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.28.33,1,-3.126.772,-58.431.731,1,4G,-74,-11,15.0,-51,4,1,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.28.35,1,-312.671,-58.431.836,1,4G,-71,-12,15.0,-51,0,0,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.28.37,1,-3.126.655,-58.431.941,1,4G,-75,-12,15.0,-51,2,2,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
